,,,,,,
,,,,,,
,PRATIK PETROLUAM,,,,,
,Sr. No,Invoice No,Company ,Qty.,Rate,Amount
,1,,LEAR-CHAKAN,,90.77,0
,,,MERCEDES,,90.77,0
,,,,,,
,,,TOTAL,0,,0
,2,,MERCEDES,,90.77,0
,,,LEAR-CHAKAN,,90.77,0
,,,,,,
,,,TOTAL,0,,0
