,,,,,,,,,,,
,,,,,,,,,,,
Row Labels,Min of PREV.READING,Max of CURRENTREADING,Sum of TOTALKM,,,,,,,,AAA
MH04MR5569,8995,10396,1401,,MH04MR5569,8995,10396,1401,,1401,0
MH04MR5596,10215,11160,945,,MH04MR5596,10215,11160,945,,945,0
MH04MR5597,9108,10722,1614,,MH04MR5597,9108,10722,1614,,1614,0
MH04MR5860,14810,17203,2393,,MH04MR5860,14810,17203,2393,,2393,0
MH04MR5861,13120,14731,1611,,MH04MR5861,13120,14731,1611,,1611,0
MH04MR5863,18347,21523,3176,,MH04MR5863,18347,21523,3176,,3176,0
MH04MR5864,15202,17706,2504,,MH04MR5864,15202,17706,2504,,2504,0
MH04MR5922,18449,21406,2957,,MH04MR5922,18449,21406,2957,,2957,0
MH11CQ5607,0,8108,8108,,MH11CQ5607,0,8108,8108,,8108,0
MH12KQ0265,440348,447383,7035,,MH12KQ0265,440348,447383,7035,,7035,0
MH12KQ1396,286360,287210,850,,MH12KQ1396,286360,287210,850,,850,0
MH12KQ3233,0,0,0,,MH12KQ3233,0,0,0,,0,0
MH12KQ7263,0,0,0,,MH12KQ7263,0,0,0,,0,0
MH12LB9492,0,0,0,,MH12LB9492,0,0,0,,0,0
MH12SF5442,0,0,0,,MH12SF5442,0,0,0,,0,0
MH12UM9865,0,0,0,,MH12UM9865,0,0,0,,0,0
MH12VF1253,0,0,0,,MH12VF1253,0,0,0,,0,0
MH12WF5993,0,0,0,,MH12WF5993,0,0,0,,0,0
MH12WR1918,0,0,0,,MH12WR1918,0,0,0,,0,0
MH12YB9901,0,0,0,,MH12YB9901,0,0,0,,0,0
MH12YB9902,0,0,0,,MH12YB9902,0,0,0,,0,0
MH12YQ7251,0,0,0,,MH12YQ7251,0,0,0,,0,0
MH12ZE0337,0,0,0,,MH12ZE0337,0,0,0,,0,0
MH12ZE2777,0,0,0,,MH12ZE2777,0,0,0,,0,0
MH12ZE6744,0,0,0,,MH12ZE6744,0,0,0,,0,0
MH14CW2890,464354,468425,4071,,MH14CW2890,464354,468425,4071,,4071,0
MH14CW2893,371845,375226,3381,,MH14CW2893,371845,375226,3381,,3381,0
MH14CW2895,422911,426195,3284,,MH14CW2895,422911,426195,3284,,3284,0
MH14CW2896,410403,412295,1892,,MH14CW2896,410403,412295,1892,,1892,0
MH14CW2897,385970,389684,3714,,MH14CW2897,385970,389684,3714,,3714,0
MH14CW2902,393497,397974,4477,,MH14CW2902,393497,397974,4477,,4477,0
MH14CW2904,396703,402335,5632,,MH14CW2904,396703,402335,5632,,5632,0
MH14CW2905,552620,558945,6325,,MH14CW2905,552620,558945,6325,,6325,0
MH14CW2906,379006,380942,1936,,MH14CW2906,379006,380942,1936,,1936,0
MH14CW2908,351813,353787,1974,,MH14CW2908,351813,353787,1974,,1974,0
MH14CW3071,87878,89787,1909,,MH14CW3071,87878,89787,1909,,1909,0
MH14CW3256,312462,314765,2303,,MH14CW3256,312462,314765,2303,,2303,0
MH14CW3260,432000,437424,5424,,MH14CW3260,432000,437424,5424,,5424,0
MH14CW3266,169468,175624,6156,,MH14CW3266,169468,175624,6156,,6156,0
MH14CW3580,362909,366324,3415,,MH14CW3580,362909,366324,3415,,3415,0
MH14CW3581,81940,88012,6072,,MH14CW3581,81940,88012,6072,,6072,0
MH14CW3584,504559,509534,4975,,MH14CW3584,504559,509534,4975,,4975,0
MH14CW3867,99293,102454,3161,,MH14CW3867,99293,102454,3161,,3161,0
MH14CW4061,434833,437526,2693,,MH14CW4061,434833,437526,2693,,2693,0
MH14CW4062,397629,399425,1796,,MH14CW4062,397629,399425,1796,,1796,0
