,,,,,,,,,,,
,,,,,,,,,,,
Row Labels,Min of PREV.READING,Max of CURRENTREADING,Sum of TOTALKM,,,,,,,,AAA
MH14LB5916,96541,99325,2784,,MH14LB5916,96541,99325,2784,,2784,0
MH14LB5917,150434,157001,6567,,MH14LB5917,150434,157001,6567,,6567,0
MH14LB5918,117865,121952,4087,,MH14LB5918,117865,121952,4087,,4087,0
MH14LB5919,236440,245440,9000,,MH14LB5919,236440,245440,9000,,9000,0
MH14LB5921,211897,213661,1764,,MH14LB5921,211897,213661,1764,,1764,0
MH14LB5922,138490,144439,5949,,MH14LB5922,138490,144439,5949,,5949,0
MH14LB5923,82679,84326,1647,,MH14LB5923,82679,84326,1647,,1647,0
MH14LB5924,88985,92664,3679,,MH14LB5924,88985,92664,3679,,3679,0
MH14LB5925,128970,134383,5413,,MH14LB5925,128970,134383,5413,,5413,0
MH14LB5926,127297,132471,5174,,MH14LB5926,127297,132471,5174,,5174,0
MH14LB5967,82818,87151,4333,,MH14LB5967,82818,87151,4333,,4333,0
MH14LB6092,47436,49335,1899,,MH14LB6092,47436,49335,1899,,1899,0
MH14LB6095,48551,50134,1583,,MH14LB6095,48551,50134,1583,,1583,0
MH14LB6096,48701,51898,3197,,MH14LB6096,48701,51898,3197,,3197,0
MH14LB6210,74355,76570,2215,,MH14LB6210,74355,76570,2215,,2215,0
MH14LB6211,95736,100515,4779,,MH14LB6211,95736,100515,4779,,4779,0
MH14LB6213,132515,136740,4225,,MH14LB6213,132515,136740,4225,,4225,0
MH14LB6214,198005,205116,7111,,MH14LB6214,198005,205116,7111,,7111,0
MH14LB6215,122745,124126,1381,,MH14LB6215,122745,124126,1381,,1381,0
MH14LB6268,72134,72325,191,,MH14LB6268,72134,72325,191,,191,0
MH14LB6269,52523,55105,2582,,MH14LB6269,52523,55105,2582,,2582,0
MH14LB6270,173700,180403,6703,,MH14LB6270,173700,180403,6703,,6703,0
MH14LB8052,102331,106616,4285,,MH14LB8052,102331,106616,4285,,4285,0
MH14LB8792,0,0,0,,MH14LB8792,0,0,0,,0,0
MH14LB9060,0,0,0,,MH14LB9060,0,0,0,,0,0
MH14LB9489,0,0,0,,MH14LB9489,0,0,0,,0,0
MH14LB9848,0,0,0,,MH14LB9848,0,0,0,,0,0
MH14LL1494,0,0,0,,MH14LL1494,0,0,0,,0,0
MH14LL4121,145424,146898,1474,,MH14LL4121,145424,146898,1474,,1474,0
MH14LL4123,125700,132168,6468,,MH14LL4123,125700,132168,6468,,6468,0
MH14LL4124,87113,91546,4433,,MH14LL4124,87113,91546,4433,,4433,0
MH14LL4125,96970,102270,5300,,MH14LL4125,96970,102270,5300,,5300,0
MH14LL4126,59863,63096,3233,,MH14LL4126,59863,63096,3233,,3233,0
MH14LL4128,85193,91756,6563,,MH14LL4128,85193,91756,6563,,6563,0
MH14LL4129,61640,63839,2199,,MH14LL4129,61640,63839,2199,,2199,0
MH14LL4130,104510,107867,3357,,MH14LL4130,104510,107867,3357,,3357,0
MH14LL4132,79837,85623,5786,,MH14LL4132,79837,85623,5786,,5786,0
MH14LL4134,43767,46693,2926,,MH14LL4134,43767,46693,2926,,2926,0
MH14LL4135,126856,130391,3535,,MH14LL4135,126856,130391,3535,,3535,0
MH14LL4136,90400,94465,4065,,MH14LL4136,90400,94465,4065,,4065,0
MH14LL4137,89384,93350,3966,,MH14LL4137,89384,93350,3966,,3966,0
MH14LL4138,158905,165440,6535,,MH14LL4138,158905,165440,6535,,6535,0
MH14LL4139,127891,132861,4970,,MH14LL4139,127891,132861,4970,,4970,0
MH14LL4140,170534,177578,7044,,MH14LL4140,170534,177578,7044,,7044,0
MH14LL4143,71992,75732,3740,,MH14LL4143,71992,75732,3740,,3740,0
MH14LL4144,103125,105756,2631,,MH14LL4144,103125,105756,2631,,2631,0
MH14LL4145,110063,113926,3863,,MH14LL4145,110063,113926,3863,,3863,0
MH14LL4146,133708,138562,4854,,MH14LL4146,133708,138562,4854,,4854,0
MH14LL4148,84913,88295,3382,,MH14LL4148,84913,88295,3382,,3382,0
MH14LL4149,144836,147067,2231,,MH14LL4149,144836,147067,2231,,2231,0
MH14LL4150,93050,95551,2501,,MH14LL4150,93050,95551,2501,,2501,0
MH14LL4153,152012,158823,6811,,MH14LL4153,152012,158823,6811,,6811,0
MH14LL4154,130009,135426,5417,,MH14LL4154,130009,135426,5417,,5417,0
MH14LL4156,157558,161160,3602,,MH14LL4156,157558,161160,3602,,3602,0
MH14LL4157,139399,145061,5662,,MH14LL4157,139399,145061,5662,,5662,0
MH14LL4159,170988,178590,7602,,MH14LL4159,170988,178590,7602,,7602,0
MH14LL4179,106007,114198,8191,,MH14LL4179,106007,114198,8191,,8191,0
MH14LL4180,79009,82202,3193,,MH14LL4180,79009,82202,3193,,3193,0
MH14LL4181,78273,81833,3560,,MH14LL4181,78273,81833,3560,,3560,0
MH14LL4182,52743,54394,1651,,MH14LL4182,52743,54394,1651,,1651,0
MH14LL4183,90743,96283,5540,,MH14LL4183,90743,96283,5540,,5540,0
MH14LL4184,133868,143310,9442,,MH14LL4184,133868,143310,9442,,9442,0
MH14LL4186,74535,77328,2793,,MH14LL4186,74535,77328,2793,,2793,0
MH14LL4187,129116,135632,6516,,MH14LL4187,129116,135632,6516,,6516,0
MH14LL4188,133026,138945,5919,,MH14LL4188,133026,138945,5919,,5919,0
MH14LL4189,204204,214516,10312,,MH14LL4189,204204,214516,10312,,10312,0
MH14LL4190,159650,159957,307,,MH14LL4190,159650,159957,307,,307,0
MH14LL4191,103231,108282,5051,,MH14LL4191,103231,108282,5051,,5051,0
MH14LL4192,76107,79325,3218,,MH14LL4192,76107,79325,3218,,3218,0
MH14LL4193,84362,87121,2759,,MH14LL4193,84362,87121,2759,,2759,0
MH14LL4194,129598,134527,4929,,MH14LL4194,129598,134527,4929,,4929,0
MH14LL4195,131813,137854,6041,,MH14LL4195,131813,137854,6041,,6041,0
MH14LL4196,83488,87621,4133,,MH14LL4196,83488,87621,4133,,4133,0
MH14LL4197,103340,109943,6603,,MH14LL4197,103340,109943,6603,,6603,0
MH14LL4198,164395,168536,4141,,MH14LL4198,164395,168536,4141,,4141,0
MH14LL4199,172678,180935,8257,,MH14LL4199,172678,180935,8257,,8257,0
MH14LL4201,133228,136778,3550,,MH14LL4201,133228,136778,3550,,3550,0
MH14LL4204,163191,167326,4135,,MH14LL4204,163191,167326,4135,,4135,0
MH14LL4205,187353,196067,8714,,MH14LL4205,187353,196067,8714,,8714,0
MH14LL4207,119864,122986,3122,,MH14LL4207,119864,122986,3122,,3122,0
MH14LL4208,139958,145424,5466,,MH14LL4208,139958,145424,5466,,5466,0
MH14LL4209,77483,80736,3253,,MH14LL4209,77483,80736,3253,,3253,0
MH14LL4278,47004,49735,2731,,MH14LL4278,47004,49735,2731,,2731,0
MH14LL4301,0,0,0,,MH14LL4301,0,0,0,,0,0
MH14LL4886,0,0,0,,MH14LL4886,0,0,0,,0,0
MH14LL6272,78518,82495,3977,,MH14LL6272,78518,82495,3977,,3977,0
MH14LL6273,63709,66492,2783,,MH14LL6273,63709,66492,2783,,2783,0
MH14LL6274,75408,77635,2227,,MH14LL6274,75408,77635,2227,,2227,0
MH14LL6328,42127,42730,603,,MH14LL6328,42127,42730,603,,603,0
MH14LL6329,23646,24009,363,,MH14LL6329,23646,24009,363,,363,0
MH14LL9502,0,0,0,,MH14LL9502,0,0,0,,0,0
MH14LL9848,0,0,0,,MH14LL9848,0,0,0,,0,0
MH14LQ1600,0,0,0,,MH14LQ1600,0,0,0,,0,0
MH14LX1060,31458,32722,1264,,MH14LX1060,31458,32722,1264,,1264,0
MH14LX2567,35340,37699,2359,,MH14LX2567,35340,37699,2359,,2359,0
MH14LX2568,51740,54677,2937,,MH14LX2568,51740,54677,2937,,2937,0
MH14LX2599,39219,41117,1898,,MH14LX2599,39219,41117,1898,,1898,0
MH14LX2601,51901,53490,1589,,MH14LX2601,51901,53490,1589,,1589,0
MH14LX2752,29101,31271,2170,,MH14LX2752,29101,31271,2170,,2170,0
MH14LX2753,63096,65290,2194,,MH14LX2753,63096,65290,2194,,2194,0
MH14LX2893,17364,18157,793,,MH14LX2893,17364,18157,793,,793,0
MH14LX2894,55190,57305,2115,,MH14LX2894,55190,57305,2115,,2115,0
MH14LX3710,37631,39006,1375,,MH14LX3710,37631,39006,1375,,1375,0
MH14LX3711,31630,33754,2124,,MH14LX3711,31630,33754,2124,,2124,0
MH14LX3712,34746,36213,1467,,MH14LX3712,34746,36213,1467,,1467,0
MH14LX3713,48857,51554,2697,,MH14LX3713,48857,51554,2697,,2697,0
MH14LX3714,38315,40172,1857,,MH14LX3714,38315,40172,1857,,1857,0
MH14LX3716,33605,34954,1349,,MH14LX3716,33605,34954,1349,,1349,0
MH14LX3718,31034,32780,1746,,MH14LX3718,31034,32780,1746,,1746,0
MH14LX3719,36681,38436,1755,,MH14LX3719,36681,38436,1755,,1755,0
MH14LX3720,34670,36564,1894,,MH14LX3720,34670,36564,1894,,1894,0
MH14LX3721,35024,36849,1825,,MH14LX3721,35024,36849,1825,,1825,0
MH14LX3723,29607,31325,1718,,MH14LX3723,29607,31325,1718,,1718,0
MH14LX3725,29343,31654,2311,,MH14LX3725,29343,31654,2311,,2311,0
MH14LX3726,32891,35631,2740,,MH14LX3726,32891,35631,2740,,2740,0
MH14LX4885,36996,39521,2525,,MH14LX4885,36996,39521,2525,,2525,0
MH14LX4888,34900,37551,2651,,MH14LX4888,34900,37551,2651,,2651,0
MH14LX4889,24486,26276,1790,,MH14LX4889,24486,26276,1790,,1790,0
MH14LX5220,0,0,0,,MH14LX5220,0,0,0,,0,0
MH14LX7484,37670,39382,1712,,MH14LX7484,37670,39382,1712,,1712,0
MH14LX7485,36809,39986,3177,,MH14LX7485,36809,39986,3177,,3177,0
MH14LX7487,34449,37039,2590,,MH14LX7487,34449,37039,2590,,2590,0
MH14LX7488,46771,48890,2119,,MH14LX7488,46771,48890,2119,,2119,0
MH14LX7841,41721,44847,3126,,MH14LX7841,41721,44847,3126,,3126,0
MH14LX7842,33921,36223,2302,,MH14LX7842,33921,36223,2302,,2302,0
MH14LX8792,0,0,0,,MH14LX8792,0,0,0,,0,0
MH14LX9322,0,0,0,,MH14LX9322,0,0,0,,0,0
MH14LX9492,0,0,0,,MH14LX9492,0,0,0,,0,0
MH14LX9897,0,0,0,,MH14LX9897,0,0,0,,0,0
MH14MH1600,0,0,0,,MH14MH1600,0,0,0,,0,0
MH14MH2897,0,0,0,,MH14MH2897,0,0,0,,0,0
MH14MH4066,0,0,0,,MH14MH4066,0,0,0,,0,0
MH14MH5220,0,0,0,,MH14MH5220,0,0,0,,0,0
MH14MH5755,0,0,0,,MH14MH5755,0,0,0,,0,0
MH14MT2064,9391,10835,1444,,MH14MT2064,9391,10835,1444,,1444,0
MH14MT2065,7525,9316,1791,,MH14MT2065,7525,9316,1791,,1791,0
MH14MT2066,9450,10973,1523,,MH14MT2066,9450,10973,1523,,1523,0
MH14MT2067,10272,12702,2430,,MH14MT2067,10272,12702,2430,,2430,0
MH14MT2472,7213,8338,1125,,MH14MT2472,7213,8338,1125,,1125,0
MH14MT2473,9195,10566,1371,,MH14MT2473,9195,10566,1371,,1371,0
MH14MT2474,8111,9074,963,,MH14MT2474,8111,9074,963,,963,0
MH14MT2475,12829,14992,2163,,MH14MT2475,12829,14992,2163,,2163,0
MH14MT2476,10052,11870,1818,,MH14MT2476,10052,11870,1818,,1818,0
MH14MT2477,7078,8144,1066,,MH14MT2477,7078,8144,1066,,1066,0
MH14MT2840,37196,41560,4364,,MH14MT2840,37196,41560,4364,,4364,0
MH14MT2841,23597,28110,4513,,MH14MT2841,23597,28110,4513,,4513,0
MH14MT2842,32632,36313,3681,,MH14MT2842,32632,36313,3681,,3681,0
MH14MT2843,21194,25625,4431,,MH14MT2843,21194,25625,4431,,4431,0
MH14MT3575,0,0,0,,MH14MT3575,0,0,0,,0,0
MH14MT4480,0,0,0,,MH14MT4480,0,0,0,,0,0
MH14MT4842,0,0,0,,MH14MT4842,0,0,0,,0,0
MH14MT5755,0,0,0,,MH14MT5755,0,0,0,,0,0
MH14MT9394,0,0,0,,MH14MT9394,0,0,0,,0,0
MH14MT9600,0,0,0,,MH14MT9600,0,0,0,,0,0
MH14NE4959,0,0,0,,MH14NE4959,0,0,0,,0,0
MH14NE5755,0,0,0,,MH14NE5755,0,0,0,,0,0
MH14WX3358,0,0,0,,MH14WX3358,0,0,0,,0,0
MH20DD0957,0,0,0,,MH20DD0957,0,0,0,,0,0
MH20EG5161,0,0,0,,MH20EG5161,0,0,0,,0,0
MH20GC2523,60690,61821,1131,,MH20GC2523,60690,61821,1131,,1131,0
MH20GC2524,41806,43164,1358,,MH20GC2524,41806,43164,1358,,1358,0
MH20GC2527,59591,61389,1798,,MH20GC2527,59591,61389,1798,,1798,0
MH20GC2528,63746,65653,1907,,MH20GC2528,63746,65653,1907,,1907,0
MH20GC2529,42043,43477,1434,,MH20GC2529,42043,43477,1434,,1434,0
MH20GC2530,54881,56444,1563,,MH20GC2530,54881,56444,1563,,1563,0
MH20GC2531,43894,45197,1303,,MH20GC2531,43894,45197,1303,,1303,0
MH20GC2532,47289,48802,1513,,MH20GC2532,47289,48802,1513,,1513,0
MH20GC2533,46419,47812,1393,,MH20GC2533,46419,47812,1393,,1393,0
MH20GC2534,44808,46153,1345,,MH20GC2534,44808,46153,1345,,1345,0
MH20GC2544,41192,42539,1347,,MH20GC2544,41192,42539,1347,,1347,0
MH20GC5307,92618,95129,2511,,MH20GC5307,92618,95129,2511,,2511,0
MH20GC5308,96818,98942,2124,,MH20GC5308,96818,98942,2124,,2124,0
MH20GC5309,151386,156016,4630,,MH20GC5309,151386,156016,4630,,4630,0
MH20GC5342,108079,111187,3108,,MH20GC5342,108079,111187,3108,,3108,0
MH20GC5343,116834,120326,3492,,MH20GC5343,116834,120326,3492,,3492,0
MH20GC5417,10988,13725,2737,,MH20GC5417,10988,13725,2737,,2737,0
MH20GC5419,16128,21211,5083,,MH20GC5419,16128,21211,5083,,5083,0
MH20GC7986,27453,28372,919,,MH20GC7986,27453,28372,919,,919,0
MH20GC7987,37914,39508,1594,,MH20GC7987,37914,39508,1594,,1594,0
MH20GC7988,24436,25323,887,,MH20GC7988,24436,25323,887,,887,0
MH20GC7989,11574,12159,585,,MH20GC7989,11574,12159,585,,585,0
MH20GC8098,26155,27380,1225,,MH20GC8098,26155,27380,1225,,1225,0
MH20GC8872,102537,110584,8047,,MH20GC8872,102537,110584,8047,,8047,0
MH20GC8873,105308,109878,4570,,MH20GC8873,105308,109878,4570,,4570,0
MH20GC8874,98662,103472,4810,,MH20GC8874,98662,103472,4810,,4810,0
MH20GC8875,77000,81057,4057,,MH20GC8875,77000,81057,4057,,4057,0
MH20GC8876,119221,125334,6113,,MH20GC8876,119221,125334,6113,,6113,0
MH20GC8878,95209,100147,4938,,MH20GC8878,95209,100147,4938,,4938,0
MH20GC8879,131667,138454,6787,,MH20GC8879,131667,138454,6787,,6787,0
MH20GC8890,77650,81420,3770,,MH20GC8890,77650,81420,3770,,3770,0
MH20GC8891,86286,90550,4264,,MH20GC8891,86286,90550,4264,,4264,0
MH20GC8893,97559,102334,4775,,MH20GC8893,97559,102334,4775,,4775,0
MH20GZ5418,7784,9656,1872,,MH20GZ5418,7784,9656,1872,,1872,0
MH20GZ5478,6302,7926,1624,,MH20GZ5478,6302,7926,1624,,1624,0
MH46DC5010,3470,5854,2384,,MH46DC5010,3470,5854,2384,,2384,0
MH46DC5012,2687,5099,2412,,MH46DC5012,2687,5099,2412,,2412,0
MH46DC5138,2152,3980,1828,,MH46DC5138,2152,3980,1828,,1828,0
MH46DC5193,4281,6591,2310,,MH46DC5193,4281,6591,2310,,2310,0
MH46DC5195,2537,4614,2077,,MH46DC5195,2537,4614,2077,,2077,0
MH46DC5196,4908,6617,1709,,MH46DC5196,4908,6617,1709,,1709,0
MH46DC5197,4318,6601,2283,,MH46DC5197,4318,6601,2283,,2283,0
MH46DC5198,5543,8329,2786,,MH46DC5198,5543,8329,2786,,2786,0
MH46DC5201,5874,7766,1892,,MH46DC5201,5874,7766,1892,,1892,0
MH46DC5204,2786,4208,1422,,MH46DC5204,2786,4208,1422,,1422,0
MH46DC6068,2821,4627,1806,,MH46DC6068,2821,4627,1806,,1806,0
MH46DC6069,1952,4095,2143,,MH46DC6069,1952,4095,2143,,2143,0
MH46DC6073,1314,3101,1787,,MH46DC6073,1314,3101,1787,,1787,0
MH46DC6074,2564,4271,1707,,MH46DC6074,2564,4271,1707,,1707,0
MH46DC6075,3042,5086,2044,,MH46DC6075,3042,5086,2044,,2044,0
MH46DC6076,1281,3291,2010,,MH46DC6076,1281,3291,2010,,2010,0
MH46DC6167,1279,2437,1158,,MH46DC6167,1279,2437,1158,,1158,0
MH46DC6332,1580,2934,1354,,MH46DC6332,1580,2934,1354,,1354,0
MH46DC6334,1220,2977,1757,,MH46DC6334,1220,2977,1757,,1757,0
MH46DC6335,941,2015,1074,,MH46DC6335,941,2015,1074,,1074,0
MH46DC6359,1169,3002,1833,,MH46DC6359,1169,3002,1833,,1833,0
MH46DC7969,600,700,100,,MH46DC7969,600,700,100,,100,0
MH46DC7970,780,1666,886,,MH46DC7970,780,1666,886,,886,0
MH46DC7975,640,950,310,,MH46DC7975,640,950,310,,310,0
MH46DC7976,590,1337,747,,MH46DC7976,590,1337,747,,747,0
MH46DC7978,510,1190,680,,MH46DC7978,510,1190,680,,680,0
MH46DC7981,640,1428,788,,MH46DC7981,640,1428,788,,788,0
MH46DC8021,630,763,133,,MH46DC8021,630,763,133,,133,0
MH46DC8236,602,708,106,,MH46DC8236,602,708,106,,106,0
MH46DC8237,628,888,260,,MH46DC8237,628,888,260,,260,0
MH46DC8238,560,679,119,,MH46DC8238,560,679,119,,119,0
MH46DC8239,590,695,105,,MH46DC8239,590,695,105,,105,0
MH46DC8240,582,693,111,,MH46DC8240,582,693,111,,111,0
MH46DC8448,590,663,73,,MH46DC8448,590,663,73,,73,0
Road sweeper,,0,0,,Road sweeper,,0,0,,0,0
TN87H1905,76635,80885,4250,,TN87H1905,76635,80885,4250,,4250,0
TN87H1913,126749,138688,11939,,TN87H1913,126749,138688,11939,,11939,0
TN87H1931,88791,98575,9784,,TN87H1931,88791,98575,9784,,9784,0
TN87H1942,41030,49568,8538,,TN87H1942,41030,49568,8538,,8538,0
TN87H1946,46977,52588,5611,,TN87H1946,46977,52588,5611,,5611,0
TN87H1956,37218,41445,4227,,TN87H1956,37218,41445,4227,,4227,0
TN87H1960,48963,56800,7837,,TN87H1960,48963,56800,7837,,7837,0
TN87H1962,53600,66253,12653,,TN87H1962,53600,66253,12653,,12653,0
TN87H1964,41024,44570,3546,,TN87H1964,41024,44570,3546,,3546,0
TN87H1971,70717,77951,7234,,TN87H1971,70717,77951,7234,,7234,0
TN87H1975,121004,132802,11798,,TN87H1975,121004,132802,11798,,11798,0
TN87H1989,25719,28860,3141,,TN87H1989,25719,28860,3141,,3141,0
TN87H1996,67590,73452,5862,,TN87H1996,67590,73452,5862,,5862,0
TN87H2004,72564,80446,7882,,TN87H2004,72564,80446,7882,,7882,0
TN87H2018,79597,88198,8601,,TN87H2018,79597,88198,8601,,8601,0
TN87H2058,62512,67955,5443,,TN87H2058,62512,67955,5443,,5443,0
TN87H2059,48160,51500,3340,,TN87H2059,48160,51500,3340,,3340,0
TN87H2061,81317,84316,2999,,TN87H2061,81317,84316,2999,,2999,0
TN87H2065,32563,35348,2785,,TN87H2065,32563,35348,2785,,2785,0
TN87H2067,69970,78666,8696,,TN87H2067,69970,78666,8696,,8696,0
TN87H2075,88391,97409,9018,,TN87H2075,88391,97409,9018,,9018,0
TN87H2083,146739,160642,13903,,TN87H2083,146739,160642,13903,,13903,0
TN87H2088,50945,58439,7494,,TN87H2088,50945,58439,7494,,7494,0
TN87H2089,40720,46228,5508,,TN87H2089,40720,46228,5508,,5508,0
TN87H2091,57792,64577,6785,,TN87H2091,57792,64577,6785,,6785,0
TN87H2151,79878,89683,9805,,TN87H2151,79878,89683,9805,,9805,0
TN87H2191,64763,71794,7031,,TN87H2191,64763,71794,7031,,7031,0
TN87H5485,283381,286246,2865,,TN87H5485,283381,286246,2865,,2865,0
TN87H6859,65697,66368,671,,TN87H6859,65697,66368,671,,671,0
Vendors Bus,,,0,,,,,,,,
Grand Total,0,563105,1798441,,,,,,,,
