,,,,,,,,,,,560,215094,217886,2792,2792,0,180,200,0,580,507.6363636363636,9.643095238095238,72.36363636363635,0,17907.272727272728,7091.636363636362,0,0,0,0,0
Sr.No.,Vehicle No.,Seating Cap.,A/C or Non A/C,FUEL,Make,Ownership,Cost Center,Standard Avg.,Fixed Avg.,Meter Remark,Only June 2026 ,Previous KM,Current Km,Total KM,Running KM,KM Comparision,June 2026 Last filling,May 26 Last filling,Stock Remark May 2026,Net Diesel Utilization of June 2026 including Stcok of MAy 26,Actual Diesel required (Ltr),Avg. Recd.,Excess Diesel in Ltr,Stolen Diesel- (Theft Report),Debitable Amount as per standard milage,Debitable Amount After Milage changed,Diesel Debit Amt Given By Manager,Name of The Driver,Remark,Stock in Ltr,Stock Amt
25,KA25AB7989,40,Non A/C,Diesel,Tata,,TMML Dharwad,5.5,5.5,,818,131935,136658,4723,4723,0,106,98,,810,858.7272727272727,5.830864197530865,-48.72727272727275,,,,,,,,0
26,KA25AC00057,54,Non A/C,Diesel,Tata,,TMML Dharwad,4.5,4.5,,1479,90384,97487,7103,7103,0,121,124.35,,1482.35,1578.4444444444443,4.7917158565790805,-96.09444444444443,,,,,,,,0
27,KA25AC00058,54,Non A/C,Diesel,Tata,,TMML Dharwad,4.5,4.5,,697,105683,109053,3370,3370,0,114,131,,714,748.8888888888889,4.719887955182073,-34.888888888888914,,,,,,,,0
28,KA25AC0452,55,Non A/C,Diesel,Tata,,TMML Dharwad,4.5,4.5,,1105,113760,119135,5375,5375,0,121,134.76,,1118.76,1194.4444444444443,4.804426329150131,-75.68444444444435,,,,,,,,0
29,KA25AC0453,55,Non A/C,Diesel,Tata,,TMML Dharwad,4.5,4.5,,1421.91,75395,82489,7094,7094,0,124,126,,1423.91,1576.4444444444443,4.982056450196993,-152.53444444444426,,,,,,,,0
30,KA25AC3423,24,Non A/C,Diesel,Tata,,TML Dharwad,6.5,6.5,,336.93,11153,13504,2351,2351,0,110.84,113,,339.09000000000003,361.6923076923077,6.9332625556636875,-22.602307692307647,,,,,,,,
31,MH04MH3731,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,1094.98,47602,51949,4347,4347,0,15,79.8,,1159.78,1086.75,3.748124644329097,73.02999999999997,,7156.939999999997,7156.939999999997,,,,,0
32,MH04MH3732,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,565,21725,23806,2081,2081,0,20,25,,570,520.25,3.650877192982456,49.75,,4875.5,4875.5,,,,,0
33,MH04MH3734,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,610,24204,26043,1839,1839,0,80,80,,610,459.75,3.0147540983606556,150.25,,14724.5,14724.5,,,,,0
34,MH04MH3735,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,350,23246,24706,1460,1460,0,30,80,,400,365,3.65,35,,3430,3430,,,,,0
35,MH04MH3736,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,499,31403,33226,1823,1823,0,70,25,,454,455.75,4.015418502202643,-1.75,,,,,,,,0
36,MH04MH3740,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,500,37897,39470,1573,1573,0,120,25,,405,393.25,3.8839506172839506,11.75,,1151.5,1151.5,,,,,0
37,MH04MH3741,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,417,21254,22712,1458,1458,0,80,80,,417,364.5,3.4964028776978417,52.5,,5145,5145,,,,,0
38,MH04MH3742,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,1084,34740,39763,5023,5023,0,64,55,,1075,1255.75,4.672558139534884,-180.75,,,,,,,,0
39,MH04MH4081,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,745,40504,43382,2878,2878,0,55,55,,745,719.5,3.8630872483221474,25.5,,2499,2499,,,,,0
40,MH04MH4719,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,606.75,37645,39869,2224,2224,0,80,40,,566.75,556,3.9241288045875606,10.75,,1053.5,1053.5,,,,,0
41,MH04MH4720,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,440,31695,33123,1428,1428,0,110,40,,370,357,3.8594594594594596,13,,1274,1274,,,,,0
42,MH04MH4721,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,519,32346,34457,2111,2111,0,14,30,,535,527.75,3.9457943925233643,7.25,,710.5,710.5,,,,,0
43,MH04MH4722,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,580,32926,35102,2176,2176,0,80,40,,540,544,4.029629629629629,-4,,,,,,,,0
44,MH04MH4723,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,475.29999999999995,26631,28411,1780,1780,0,84.39,92.77,,483.67999999999995,445,3.6801190869996696,38.67999999999995,,3790.639999999995,3790.639999999995,,,,,0
45,MH04MH4724,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,381.78,30813,32063,1250,1250,0,66.65,30,,345.13,312.5,3.62182366064961,32.629999999999995,,3197.74,3197.74,,,,,0
46,MH04MH4725,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,295,14044,15271,1227,1227,0,70,79.67,,304.67,306.75,4.027308235139659,-2.079999999999984,,,,,,,,0
47,MH04MH5107,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,429.7,28571,30190,1619,1619,0,87,79.63,,422.33,404.75,3.8334951341368124,17.579999999999984,,1722.8399999999983,1722.8399999999983,,,,,0
48,MH04MH5108,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,520,38168,40059,1891,1891,0,65,25,,480,472.75,3.939583333333333,7.25,,710.5,710.5,,,,,0
49,MH04MH5287,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,981.0799999999999,42174,46083,3909,3909,0,55,20,,946.0799999999999,977.25,4.131785895484526,-31.170000000000073,,,,,,,,0
50,MH04MH5288,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,581,27334,29494,2160,2160,0,15,30,,596,540,3.6241610738255035,56,,5488,5488,,,,,0
51,MH04MH5289,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,640.61,27443,30112,2669,2669,0,83.85,89.27,,646.03,667.25,4.131387087286968,-21.220000000000027,,,,,,,,0
52,MH04MH5376,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,533,16402,18437,2035,2035,0,15,39,,557,508.75,3.6535008976660683,48.25,,4728.5,4728.5,,,,,0
53,MH04MH5570,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,330,24663,25541,878,878,0,110,10,,230,219.5,3.8173913043478263,10.5,,1029,1029,,,,,0
